time,open,high,low,close,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Shapes,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Shapes,peak_price,weak_price,grow_price,valley_price,Basis,Upper,Lower,Knn Classifier Line,Average Knn Classifier Line,Volume,Plot,Oversold/Overbought Cross,Histogram,MACD,Signal,Plot,ebb,ebb_highlight,flow,flow_highlight
2024-06-29,60427.84,61224,60383.77,60986.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,60187.12,65500,56552.82,64503.261499999986,69876.2502904386,59130.27270956136,62643.37755555556,64162.94635682926,11509.55904,27.850053014556252,NaN,-448.96080015543816,-1790.5781630406636,-1341.6173628852255,-5238.139999999999,36.54574640416662,NaN,25.490789190083788,NaN
2024-06-30,60986.68,63058.76,60712.21,62772.01,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,60187.12,65500,56552.82,64164.86199999999,69057.37168967388,59272.3523103261,62408.78275555556,64127.198949692676,17326.30136,29.40222841885401,NaN,-244.57607479244552,-1647.3374563757825,-1402.761381583337,-4905.71091176472,38.1983882594813,NaN,38.13848970740538,NaN
2024-07-01,62772.01,63861.76,62497.2,62899.99,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,60187.12,65500,56552.82,63944.149499999985,68642.8789996443,59245.420000355676,62310.35386666667,64092.16649069882,24547.10538,37.24502098681956,NaN,-82.69451417391133,-1506.1295243007262,-1423.4350101268149,-4435.225911764719,46.372980444891716,NaN,42.72114218903091,NaN
2024-07-02,62900,63288.83,61806.28,62135.47,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,58402,63637.7235,67953.33831767894,59322.108682321064,62169.756488888896,64049.79270755151,18573.11875,40.36824737459145,NaN,-12.708000130368418,-1439.3200102897754,-1426.612010159407,-4064.0466764706,43.949725425812346,NaN,40.420401212578476,NaN
2024-07-03,62135.46,62285.94,59400,60208.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,58402,63309.502,67619.88650531063,58999.117494689366,62046.00682222223,64005.121400067146,32160.11127,39.055353236236535,NaN,-78.13910347940327,-1524.285889508661,-1446.1467860292578,-3904.5475000000006,36.74752384842546,NaN,36.695037900373215,NaN
2024-07-04,60208.57,60498.19,56771,57050.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,56771,62859.803,67770.12487503048,57949.48112496952,61793.74173333334,63951.39519873247,54568.77276,28.74245497854696,NaN,-303.4421847257677,-1825.4495169364673,-1522.0073322106996,-4067.15682352944,30.807425664357467,NaN,31.17855619094324,NaN
2024-07-05,57050.02,57546,53485.93,56628.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,53485.93,62379.829999999994,67735.7222838648,57023.93771613519,61576.034311111114,63898.74352142448,81348.24756,25.33174752002452,NaN,-441.75627649833814,-2074.202677833622,-1632.446401335284,-4983.759205882365,25.303371903439142,25.303371903439142,24.601415410414944,NaN
2024-07-06,56628.79,58475,56018,58230.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,53485.93,61957.492999999995,67222.77546685444,56692.21053314555,61290.76031111112,63838.86382432933,21651.31558,27.649806429610138,NaN,-388.2147956382894,-2117.714895883146,-1729.5001002448564,-5858.230647058845,34.95028602206631,NaN,29.631934941221104,NaN
2024-07-07,58230.13,58449.46,55724.37,55857.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,71997.02,58402,63861.76,53485.93,61425.167,66892.90846918485,55957.42553081515,60844.01124444445,63764.60994784274,19118.93918,27.044410622828593,NaN,-469.93356957065316,-2316.917062208173,-1846.9834926375197,-6601.4373235294115,34.39553402787212,NaN,29.573517505197685,NaN
2024-07-08,55857.81,58236.73,54260.16,56714.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,71997.02,58402,63861.76,53485.93,61002.132,66552.40077115929,55451.86322884071,60141.36144444444,63669.09787555256,48090.2049,27.53196659742298,NaN,-425.00041119054004,-2378.2340066256947,-1953.2335954351547,-7121.314676470596,31.693986380193834,NaN,29.059633450005805,NaN
